acc_x,acc_y,acc_z,time
0.028123727068305016,-0.9468116164207458,0.05897463485598564,2019-06-14 03:05:40.758212
0.020123012363910675,-0.9477765560150146,0.07018469274044037,2019-06-14 03:05:40.773633
0.01575898379087448,-0.9366801977157593,0.08261322975158691,2019-06-14 03:05:40.788811
0.018668334931135178,-0.9485002160072327,0.07944517582654953,2019-06-14 03:05:40.800379
0.022305024787783623,-0.9497063755989075,0.07189057022333145,2019-06-14 03:05:40.815540
0.020123012363910675,-0.9415046572685242,0.004142846446484327,2019-06-14 03:05:40.830630
0.020850349217653275,-0.942710816860199,0.053125910460948944,2019-06-14 03:05:40.842277
0.01769855059683323,-0.9369213581085205,0.07213426381349564,2019-06-14 03:05:40.857434
0.023274807259440422,-0.9504300355911255,0.0740838423371315,2019-06-14 03:05:40.872590
0.020607901737093925,-0.9412634968757629,0.08651237934827805,2019-06-14 03:05:40.887746
0.022062579169869423,-0.9386099576950073,0.05994942784309387,2019-06-14 03:05:40.899389
0.023274807259440422,-0.944881796836853,0.06847881525754929,2019-06-14 03:05:40.914541
0.021092794835567474,-0.9540484547615051,0.06506705284118652,2019-06-14 03:05:40.929703
0.015516539104282856,-0.9371626377105713,0.07895777374505997,2019-06-14 03:05:40.948367
0.023517252877354622,-0.9472941160202026,0.06287378817796707,2019-06-14 03:05:40.963476
0.02618415839970112,-0.9402985572814941,0.0696972981095314,2019-06-14 03:05:40.978669
0.02448703721165657,-0.9398161172866821,0.06336117535829544,2019-06-14 03:05:40.990323
0.020850349217653275,-0.942952036857605,0.07530233263969421,2019-06-14 03:05:41.005477
0.01769855059683323,-0.9506712555885315,0.07457123696804047,2019-06-14 03:05:41.020638
0.01575898379087448,-0.943434476852417,0.07652080804109573,2019-06-14 03:05:41.035790
0.018425889313220978,-0.9417458772659302,0.0682351142168045,2019-06-14 03:05:41.047369
0.02472948282957077,-0.9501887559890747,0.06628554314374924,2019-06-14 03:05:41.062531
0.02375970035791397,-0.9395748376846313,0.07164687663316727,2019-06-14 03:05:41.077696
0.021335240453481674,-0.9415046572685242,0.07018469274044037,2019-06-14 03:05:41.096337
0.019638117402791977,-0.943675696849823,0.06994099915027618,2019-06-14 03:05:41.111497
0.020850349217653275,-0.9439169764518738,0.06994099915027618,2019-06-14 03:05:41.126656
0.020850349217653275,-0.942710816860199,0.07676450163125992,2019-06-14 03:05:41.138305
0.023274807259440422,-0.9497063755989075,0.07091578096151352,2019-06-14 03:05:41.153456
0.021092794835567474,-0.943193256855011,0.07164687663316727,2019-06-14 03:05:41.168613
0.018668334931135178,-0.9468116164207458,0.06750403344631195,2019-06-14 03:05:41.183765
0.019153228029608727,-0.9460880160331726,0.06750403344631195,2019-06-14 03:05:41.195406
0.020123012363910675,-0.9417458772659302,0.06774772703647614,2019-06-14 03:05:41.210558
0.021335240453481674,-0.9415046572685242,0.07140318304300308,2019-06-14 03:05:41.225688
0.023517252877354622,-0.9422283172607422,0.07213426381349564,2019-06-14 03:05:41.237340
0.020850349217653275,-0.9422283172607422,0.07067208737134933,2019-06-14 03:05:41.252493
0.021335240453481674,-0.9494651556015015,0.06555445492267609,2019-06-14 03:05:41.267649
0.020365456119179726,-0.943193256855011,0.07335275411605835,2019-06-14 03:05:41.282802
0.021577686071395874,-0.9456055164337158,0.06701663136482239,2019-06-14 03:05:41.294427
0.023517252877354622,-0.943675696849823,0.07189057022333145,2019-06-14 03:05:41.309582
